id,username,firebase_id,online
1,LeBob,null,TRUE
2,o7,null,TRUE
3,AmongstShadows,null,FALSE
4,CharlieUgly,null,FALSE
5,ShadowSerpent,null,TRUE
6,Momo,null,FALSE
7,MadKing,null,FALSE
8,Nile,null,FALSE
9,AndyPants,null,FALSE
10,Slambery,null,TRUE
11,SussyBoiii,null,FALSE
12,NotRandy,null,TRUE
13,Mr.Thomas,null,FALSE
14,Maddiezzz,null,FALSE
15,AltF4Ninja,null,FALSE
16,KoalaHater,null,TRUE
17,PenTricks,null,TRUE
18,Honk,null,FALSE
19,CherryBubly,null,FALSE
20,KidnapCharlie,null,FALSE
21,iHaveAStethoscope,null,FALSE
22,JamesChair,null,TRUE
23,JulianHeadshots,null,TRUE
24,Mr.1Liner,null,TRUE
25,DaddyPie,null,FALSE
26,ChipsASMR,null,TRUE
27,demo,null,FALSE
28,ChrisW[Admin],null,FALSE
29,ChrisG[Admin],null,FALSE
30,James[Admin],null,TRUE
31,Jonathan[Admin],null,TRUE
32,Rob[Admin],null,FALSE
33,Jake[Admin],null,TRUE
34,Mr.MoneyBags9000,null,FALSE
35,Investor#76,null,FALSE
